상영일자,상영관,영화제목,1회,2회,3회,4회,5회,6회,7회,,,
2018-12-20,4DX,아쿠아맨,10:00,12:50,15:40,18:30,21:20,24:10,,,,
2018-12-20,02관,아쿠아맨,10:30,16:20,19:10,24:50,,,,,,
2018-12-20,IMAX,아쿠아맨,08:30,11:20,14:10,17:00,19:50,22:40,25:30,,,
2018-12-20,10관,아쿠아맨,12:20,15:10,18:00,20:50,23:40,,,,,
2018-12-21,4DX,아쿠아맨,10:50,13:40,16:30,22:10,25:00,,,,,
2018-12-21,02관,아쿠아맨,10:00,15:50,18:40,24:20,,,,,,
2018-12-21,06관,아쿠아맨,09:20,,,,,,,,,
2018-12-21,IMAX,아쿠아맨,08:30,11:20,14:10,17:00,19:50,22:40,25:30,,,
2018-12-21,09관,아쿠아맨,09:30,12:30,15:20,18:100,21:00,23:50,,,,
2018-12-21,11관,아쿠아맨,09:25,,,,,,,,,
2018-12-22,4DX,아쿠아맨,07:50,10:40,13:30,16:20,19:10,22:00,24:50,,,
2018-12-22,IMAX,아쿠아맨,08:50,11:40,14:30,17:20,20:10,23:00,25:50,,,
2018-12-22,10관,아쿠아맨,09:40,12:30,15:20,18:10,21:00,23:50,,,,
2018-12-20,04관,마약왕,09:10,11:55,14:40,17:25,20:10,23:00,,,,
2018-12-20,06관,마약왕,09:50,12:35,15:20,18:05,20:50,23:40,,,,
2018-12-20,09관,마약왕,08:20,11:05,13:50,16:35,19:20,22:05,24:50,,,
2018-12-21,04관,마약왕,09:50,12:40,15:30,18:15,21:00,23:45,,,,
2018-12-21,06관,마약왕,20:05,25:35,,,,,,,,
2018-12-21,10관,마약왕,08:20,11:05,13:50,16:35,19:20,22:05,24:50,,,
2018-12-22,04관,마약왕,08:40,11:25,14:10,16:55,19:40,22:25,25:10,,,
2018-12-22,09관,마약왕,07:40,10:25,13:10,15:55,18:40,21:25,24:10,,,
2018-12-20,03관,스윙키즈,10:40,13:20,16:00,18:40,21:20,24:00,,,,
2018-12-20,05관,스윙키즈,09:00,11:40,14:20,17:00,19:40,22:20,25:00,,,
2018-12-20,12관,스윙키즈,15:10,17:50,20:30,,,,,,,
2018-12-21,03관,스윙키즈,09:35,14:40,17:20,22:40,25:20,,,,,
2018-12-21,05관,스윙키즈,10:20,13:00,15:40,18:20,21:00,23:40,,,,
2018-12-21,12관,스윙키즈,16:30,19:10,21:50,,,,,,,
2018-12-22,03관,스윙키즈,07:30,10:10,12:50,15:30,18:10,20:50,23:30,,,
2018-12-22,05관,스윙키즈,08:30,11:10,13:50,16:30,19:10,21:50,24:30,,,
2018-12-20,02관,보헤미안 랩소디,13:30,22:00,,,,,,,,
2018-12-20,10관,보헤미안 랩소디,09:30,,,,,,,,,
2018-12-20,11관,보헤미안 랩소디,18:25,,,,,,,,,
2018-12-21,02관,보헤미안 랩소디,13:00,21:30,,,,,,,,
2018-12-21,11관,보헤미안 랩소디,16:45,,,,,,,,,
2018-12-21,12관,보헤미안 랩소디,09:40,,,,,,,,,
