상영일자,상영관,영화제목,1회,2회,3회,4회,5회,6회,7회,,,
2018-12-20,4관,아쿠아맨,09:10,12:00,14:50,17:40,20:30,23:20,,,,
2018-12-20,5관,아쿠아맨,13:35,16:25,,,,,,,,
2018-12-20,7관,아쿠아맨,10:00,19:00,25:30,,,,,,,
2018-12-20,9관,아쿠아맨,22:15,,,,,,,,,
2018-12-21,3관,아쿠아맨,24:30,,,,,,,,,
2018-12-21,4관,아쿠아맨,09:10,12:00,14:50,17:40,,,,,,
2018-12-21,5관,아쿠아맨,13:45,16:35,19:25,22:15,,,,,,
2018-12-21,6관,아쿠아맨,10:00,,,,,,,,,
2018-12-21,7관,아쿠아맨,22:35,,,,,,,,,
2018-12-22,2관,아쿠아맨,11:45,,,,,,,,,
2018-12-22,4관,아쿠아맨,09:10,14:50,17:40,20:30,23:20,,,,,
2018-12-22,6관,아쿠아맨,13:30,16:20,19:10,24:05,,,,,,
2018-12-22,7관,아쿠아맨,25:10,,,,,,,,,
2018-12-20,2관,마약왕,17:55,20:40,23:25,,,,,,,
2018-12-20,3관,마약왕,10:00,13:00,15:50,,,,,,,
2018-12-20,5관,마약왕,08:55,22:40,,,,,,,,
2018-12-20,6관,마약왕,12:10,14:55,,,,,,,,
2018-12-20,7관,마약왕,21:50,24:35,,,,,,,,
2018-12-20,9관,마약왕,11:15,14:00,16:45,19:30,25:05,,,,,
2018-12-21,2관,마약왕,09:00,14:40,17:25,20:10,23:00,,,,,
2018-12-21,3관,마약왕,10:00,12:45,15:30,18:35,21:45,,,,,
2018-12-21,4관,마약왕,20:55,23:40,,,,,,,,
2018-12-21,5관,마약왕,25:05,,,,,,,,,
2018-12-21,6관,마약왕,14:40,20:10,,,,,,,,
2018-12-21,8관,마약왕,11:35,,,,,,,,,
2018-12-21,9관,마약왕,14:00,16:45,19:30,24:20,,,,,,
2018-12-22,2관,마약왕,09:00,14:45,17:30,20:15,23:00,,,,,
2018-12-22,3관,마약왕,10:00,12:45,15:30,18:30,21:15,24:00,,,,
2018-12-22,9관,마약왕,11:15,14:00,16:45,19:30,22:15,25:05,,,,
2018-12-20,2관,스윙키즈,09:50,,,,,,,,,
2018-12-20,6관,스윙키즈,23:10,,,,,,,,,
2018-12-20,7관,스윙키즈,13:00,15:40,,,,,,,,
2018-12-20,8관,스윙키즈,09:00,11:40,14:20,17:00,19:40,22:20,25:00,,,
2018-12-21,2관,스윙키즈,11:45,,,,,,,,,
2018-12-21,6관,스윙키즈,12:50,18:10,23:40,,,,,,,
2018-12-21,7관,스윙키즈,10:00,,,,,,,,,
2018-12-21,8관,스윙키즈,08:55,14:20,17:00,19:40,22:20,25:00,,,,
2018-12-22,6관,스윙키즈,10:45,,,,,,,,,
2018-12-22,7관,스윙키즈,09:00,11:40,14:20,17:00,19:40,22:20,,,,
2018-12-22,8관,스윙키즈,09:50,,,,,,,,,
2018-12-20,2관,보헤미안 랩소디,12:30,15:10,,,,,,,,
2018-12-20,3관,보헤미안 랩소디,21:00,,,,,,,,,
2018-12-21,7관,보헤미안 랩소디,15:10,19:55,,,,,,,,
2018-12-21,9관,보헤미안 랩소디,11:20,,,,,,,,,
2018-12-22,4관,보헤미안 랩소디,12:10,,,,,,,,,
