상영일자,상영관,영화제목,1회,2회,3회,4회,5회,6회,7회,,,,,,,,,
2018-12-20,confort3관,아쿠아맨,22:20,25:10,,,,,,,,,,,,,,
2018-12-20,6관,아쿠아맨,09:40,12:30,15:20,18:10,21:10,24:00,,,,,,,,,,
2018-12-20,8관,아쿠아맨,08:10,11:00,13:50,16:40,19:30,,,,,,,,,,,
2018-12-21,5관,아쿠아맨,17:30,20:20,23:10,,,,,,,,,,,,,
2018-12-21,6관,아쿠아맨,09:30,12:20,15:10,18:30,21:20,24:10,,,,,,,,,,
2018-12-21,8관,아쿠아맨,08:10,11:00,13:50,16:40,19:30,22:20,25:10,,,,,,,,,
2018-12-22,1관,아쿠아맨,18:20,21:10,24:00,,,,,,,,,,,,,
2018-12-22,2관,아쿠아맨,09:20,12:10,15:00,,,,,,,,,,,,,
2018-12-22,confort3관,아쿠아맨,08:00,10:50,13:40,16:30,19:20,22:10,25:00,,,,,,,,,
2018-12-22,6관,아쿠아맨,15:40,,,,,,,,,,,,,,,
2018-12-22,8관,아쿠아맨,17:30,20:20,23:10,,,,,,,,,,,,,
2018-12-20,1관,마약왕,09:45,12:35,15:50,18:40,21:30,24:20,,,,,,,,,,
2018-12-20,2관,마약왕,17:50,21:00,,,,,,,,,,,,,,
2018-12-20,confort 4관,마약왕,08:00,10:50,13:40,16:30,19:20,22:10,25:00,,,,,,,,,
2018-12-20,5관,마약왕,15:10,18:00,23:30,,,,,,,,,,,,,
2018-12-20,7관,마약왕,08:45,11:35,14:25,17:15,22:50,,,,,,,,,,,
2018-12-20,10관,마약왕,20:30,,,,,,,,,,,,,,,
2018-12-21,1관,마약왕,08:50,11:40,14:30,17:20,20:20,23:10,,,,,,,,,,
2018-12-21,2관,마약왕,09:50,12:40,15:30,18:40,21:30,24:20,,,,,,,,,,
2018-12-21,confort 4관,마약왕,08:00,10:50,13:40,16:30,19:20,22:10,25:00,,,,,,,,,
2018-12-21,7관,마약왕,19:50,22:40,,,,,,,,,,,,,,
2018-12-21,10관,마약왕,18:00,20:50,,,,,,,,,,,,,,
2018-12-22,1관,마약왕,09:50,12:40,15:30,,,,,,,,,,,,,
2018-12-22,2관,마약왕,18:00,20:50,23:40,,,,,,,,,,,,,
2018-12-22,confort 4관,마약왕,07:50,18:40,13:30,16:20,19:10,22:00,24:50,,,,,,,,,
2018-12-22,5관,마약왕,08:50,11:40,14:30,17:20,20:10,23:00,,,,,,,,,,
2018-12-22,6관,마약왕,18:30,21:20,,,,,,,,,,,,,,
2018-12-22,10관,마약왕,16:50,19:40,22:30,,,,,,,,,,,,,
2018-12-20,confort3관,스윙키즈,09:00,11:40,14:20,17:00,19:40,,,,,,,,,,,
2018-12-20,5관,스윙키즈,20:50,,,,,,,,,,,,,,,
2018-12-20,7관,스윙키즈,20:05,,,,,,,,,,,,,,,
2018-12-20,8관,스윙키즈,22:20,25:00,,,,,,,,,,,,,,
2018-12-20,9관,스윙키즈,10:20,13:10,16:00,18:40,21:30,25:10,,,,,,,,,,
2018-12-20,10관,스윙키즈,23:20,,,,,,,,,,,,,,,
2018-12-21,confort3관,스윙키즈,09:00,11:40,14:20,17:00,19:40,22:20,25:00,,,,,,,,,
2018-12-21,9관,스윙키즈,18:20,,,,,,,,,,,,,,,
2018-12-22,9관,스윙키즈,07:50,10:30,13:10,20:00,22:40,,,,,,,,,,,
2018-12-20,2관,보헤미안 랩소디,08:40,23:50,,,,,,,,,,,,,,
2018-12-20,10관,보헤미안 랩소디,17:45,,,,,,,,,,,,,,,
2018-12-21,5관,보헤미안 랩소디,14:50,,,,,,,,,,,,,,,
2018-12-21,7관,보헤미안 랩소디,08:20,,,,,,,,,,,,,,,
